# SPDX-License-Identifier: GPL-3.0-or-later
# Re-audit snapshot: HEAD 2552be5fa, build bd28186b79c34f1aa5d20331c7c04a1a. Not closure claims.
selector	unit	baseline_cur	observation	disposition	next_check	previous_note
??0tcp_packet_client@network_core@vostok@@QAE@AAVio_service@asio@boost@@@Z	vostok/network_core/sources/tcp_packet_client.cpp	66.0227	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	[PARTIAL 70.24%] body byte-correct; boost::bind/function assign reps fold under LTCG (frame/slot residual) | network_core packet/tcp cluster: structure FAITHFUL (verified structure-diff). Byte residual = MIXED-OPTIMIZATION wall (the shipped game compiles the packet templates OPTIMIZED - register-allocated, no frame - vs /Od base; no pairing COMDAT) + inline-vs-call (target inlines/out-of-lines packet resize/ctor/deallocate/socket send differently). Not source-steerable. See packet_inline.h claude@NOTE.
??0udp_match_packet@network_core@vostok@@AAE@XZ	vostok/network_core/udp_match_packet.h	81.4068	projected_match	needs_reaudit	Verify complete procedure bytes, locals, file provenance and zero-statement/prologue blind spots.	[DONE 65%] structure 2/2 stmts; residual is LTCG inlining (packet/set_member_hook ctors inlined vs target's out-of-line calls) | network_core closeout (#407): structure + named-locals MATCH the target across all 15 TUs (verified by the 4 matchers, pdb_fetch structure-diff/info). Byte residuals are non-steerable library/codegen walls: MIXED-OPTIMIZATION (packet<> templates compiled optimized in the shipped game vs /Od base), packet serialize/r<>/append/resize inline-vs-call, boost::function/bind asio completion-handler inline, StlPort basic_string overload-resolution, LOG/ASSERT-eater macro form, LTCG/ICF call-boundary + seed-immediate + secure-CRT reloc naming. See per-TU claude@NOTEs.
??0udp_network_flow_emulator@network_core@vostok@@QAE@AAVbase_allocator@memory@2@AAV?$single_size_buffer_allocator@$0BCM@Vsingle_threading_policy@threading@vostok@@@42@ABUudp_network_flow_emulator_options@12@@Z	vostok/network_core/sources/udp_network_flow_emulator.cpp	88.3276	projected_match	needs_reaudit	Verify complete procedure bytes, locals, file provenance and zero-statement/prologue blind spots.	[PARTIAL 90.69%] structure CORRECT (member-init list); residual is the three operand-masked seed immediates (delinker asymmetry, not a source miss). | network_core udp_misc (udp_match_client/flow_emulator/entry_point/allocators): structure + named-locals MATCH the target (verified structure-diff/info). Byte residual = LTCG/ICF call-boundary walls - LOG boost::function ctor scheduling, packet recv r<> inline-vs-call, allocator-template inlining, seed-immediate delinker asymmetry, secure-CRT reloc naming, dead-loop jmp-anchor (get_ip_address lever in review_todos.md). Not source-steerable.
??Pnetwork_core@vostok@@YA_NABUudp_match_stats@01@0@Z	vostok/network_core/udp_match_stats.h	94.5455	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	[PARTIAL 94.55%] structure now matches (dropped a spurious duplicate received_duplicated compare - was 7 terms, target has 6). Residual is a target idiom on the final term (bool materialize `mov eax,1; test`) + a short/near jump, not source-fixable - the six terms are out-of-line calls to the stream operator>= on both sides, so no inlined compare bytes are involved. | network_core udp_misc (udp_match_client/flow_emulator/entry_point/allocators): structure + named-locals MATCH the target (verified structure-diff/info). Byte residual = LTCG/ICF call-boundary walls - LOG boost::function ctor scheduling, packet recv r<> inline-vs-call, allocator-template inlining, seed-immediate delinker asymmetry, secure-CRT reloc naming, dead-loop jmp-anchor (get_ip_address lever in review_todos.md). Not source-steerable.
??1udp_network_flow_emulator@network_core@vostok@@QAE@XZ	vostok/network_core/sources/udp_network_flow_emulator.cpp	79.0732	size_only	measured_improvement_residual_open	Build d3b87dd0: 99.7073, four spans/111B/no locals match; frame0x70 vs0x78 and temp slots still differ. Re-audit, not closed.	[PARTIAL 79.07%] structure CORRECT (4/4 stmts, 0 quantity-diffs); residual is the STL iterator-comparison codegen, NOT a loop-form miss (see body verdict). | network_core udp_misc (udp_match_client/flow_emulator/entry_point/allocators): structure + named-locals MATCH the target (verified structure-diff/info). Byte residual = LTCG/ICF call-boundary walls - LOG boost::function ctor scheduling, packet recv r<> inline-vs-call, allocator-template inlining, seed-immediate delinker asymmetry, secure-CRT reloc naming, dead-loop jmp-anchor (get_ip_address lever in review_todos.md). Not source-steerable.
?add_packet@udp_network_flow_emulator@network_core@vostok@@AAEXPAEIABV?$basic_endpoint@Vudp@ip@asio@boost@@@ip@asio@boost@@II@Z	vostok/network_core/sources/udp_network_flow_emulator.cpp	94.4057	size_only	measured_improvement_residual_open	Build d3b87dd0: 99.7264, ten spans/356B/four locals match; frame0xb4 vs0xb8 and local/temp slot differences remain. Re-audit, not closed.	network_core udp_misc (udp_match_client/flow_emulator/entry_point/allocators): structure + named-locals MATCH the target (verified structure-diff/info). Byte residual = LTCG/ICF call-boundary walls - LOG boost::function ctor scheduling, packet recv r<> inline-vs-call, allocator-template inlining, seed-immediate delinker asymmetry, secure-CRT reloc naming, dead-loop jmp-anchor (get_ip_address lever in review_todos.md). Not source-steerable.
?append@?$packet@Vudp_match_packet@network_core@vostok@@@network_core@vostok@@QAEXABVfloat2@math@3@@Z	vostok/network_core/packet_inline.h		unpaired_or_other	needs_reaudit	Resolve target/base aliases, source ownership and live callers; absence alone does not prove inlining.	PDB-faithful one-statement append(&value,sizeof(value)) body. The emitted udp u32 sibling with the same template source is byte-exact, while these overload COMDATs are absent after base inlining/retention selection despite real callers. No target-evidenced declaration change; fabricating an anchor is forbidden. Concrete LTCG COMDAT-retention wall.
?append@?$packet@Vudp_match_packet@network_core@vostok@@@network_core@vostok@@QAEX_N@Z	vostok/network_core/packet_inline.h		unpaired_or_other	needs_reaudit	Resolve target/base aliases, source ownership and live callers; absence alone does not prove inlining.	PDB-faithful one-statement append(&value,sizeof(value)) body. The emitted udp u32 sibling with the same template source is byte-exact, while these overload COMDATs are absent after base inlining/retention selection despite real callers. No target-evidenced declaration change; fabricating an anchor is forbidden. Concrete LTCG COMDAT-retention wall.
?append@?$packet@Vudp_match_packet@network_core@vostok@@@network_core@vostok@@QAEXABVfloat3@math@3@@Z	vostok/network_core/packet_inline.h		unpaired_or_other	needs_reaudit	Resolve target/base aliases, source ownership and live callers; absence alone does not prove inlining.	PDB-faithful one-statement append(&value,sizeof(value)) body. The emitted udp u32 sibling with the same template source is byte-exact, while these overload COMDATs are absent after base inlining/retention selection despite real callers. No target-evidenced declaration change; fabricating an anchor is forbidden. Concrete LTCG COMDAT-retention wall.
?append@?$packet@Vudp_match_packet@network_core@vostok@@@network_core@vostok@@QAEXG@Z	vostok/network_core/packet_inline.h		unpaired_or_other	needs_reaudit	Resolve target/base aliases, source ownership and live callers; absence alone does not prove inlining.	PDB-faithful one-statement append(&value,sizeof(value)) body. The emitted udp u32 sibling with the same template source is byte-exact, while these overload COMDATs are absent after base inlining/retention selection despite real callers. No target-evidenced declaration change; fabricating an anchor is forbidden. Concrete LTCG COMDAT-retention wall.
?buffer_to_receive_into@network_core@vostok@@YA?AVmutable_buffers_1@asio@boost@@AAVtcp_packet@12@@Z	vostok/network_core/sources/tcp_packet.cpp	94.72	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	[PARTIAL 75.68%] shape exact (1 stmt each); sole SIZE is buffer()/buffer_size() accessor out-of-line call in target vs inlined in base - not source-fixable our side. | network_core packet/tcp cluster: structure FAITHFUL (verified structure-diff). Byte residual = MIXED-OPTIMIZATION wall (the shipped game compiles the packet templates OPTIMIZED - register-allocated, no frame - vs /Od base; no pairing COMDAT) + inline-vs-call (target inlines/out-of-lines packet resize/ctor/deallocate/socket send differently). Not source-steerable. See packet_inline.h claude@NOTE.
?buffer_to_send@network_core@vostok@@YA?AVconst_buffers_1@asio@boost@@AAVtcp_packet@12@@Z	vostok/network_core/sources/tcp_packet.cpp	95.4098	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	Restore retail const buffer_size and const pointer buffer; target RVA 0x6d78e0 stores long-header marker at -3 and u16 length at -2, corrected reversed placements.
?check_consistency@udp_match_client@network_core@vostok@@QBEXXZ	vostok/network_core/sources/udp_match_client.cpp	99.9444	projected_match	needs_reaudit	Verify complete procedure bytes, locals, file provenance and zero-statement/prologue blind spots.	[DONE 99.94%] STRUCTURE MATCH (3/3 stmts, sizes byte-identical); sole residual is the two locals' ebp slots swapped (-4/-8) - /Od+LTCG slot-allocation noise, no source lever (statement order is fixed by the target and names do not affect slots).
?close_connection@tcp_packet_client@network_core@vostok@@AAEXXZ	vostok/network_core/sources/tcp_packet_client.cpp	66.303	size_only	measured_match	Build d19d3d68: 100%, five statements/121B and ec local match; wrong overload resolved, zero global regressions.	[PARTIAL 66.3%] ASSERT + shutdown + close + reset shape correct; residual = m_socket.close(ec) out-lines to basic_socket::close in target but over-inlines to win_iocp service close in base (inline-boundary) | network_core packet/tcp cluster: structure FAITHFUL (verified structure-diff). Byte residual = MIXED-OPTIMIZATION wall (the shipped game compiles the packet templates OPTIMIZED - register-allocated, no frame - vs /Od base; no pairing COMDAT) + inline-vs-call (target inlines/out-of-lines packet resize/ctor/deallocate/socket send differently). Not source-steerable. See packet_inline.h claude@NOTE.
?construct_packet@udp_match_connection@network_core@vostok@@SAXAAUudp_match_packets_orderer@23@AAVudp_match_packet@23@E@Z	vostok/network_core/udp_match_connection_inline.h	80.6479	statement_presence_or_alignment	needs_reaudit	Compare ordinal spans and source/control-flow geometry; distinguish real missing statements from alignment.	Restore PDB-proven packed udp_match_message_type_info (0x203 retail vs 0x202 base); retain channel/reliable/ordered source order confirmed by target RVA 0xdac90. Measure bitfield consumer after local pragma pack scope.
?disconnect@udp_match_connection@network_core@vostok@@QAEXXZ	vostok/network_core/sources/udp_match_connection.cpp	99.8286	projected_match	needs_reaudit	Verify complete procedure bytes, locals, file provenance and zero-statement/prologue blind spots.	[PARTIAL 79.07%] 18/18; channel-purge rows are the intrusive begin inline-vs-call wall (+ jump-width cascade), the m_disconnection_local_sequence_id rows the op= lowering. | network_core udp_match_connection: structure + named-locals MATCH the target (verified pdb_fetch --view structure-diff/info); byte residual is inline-vs-call codegen (packet serialize(pbyte&)/sequence_number operator=/append template/packet_reader r<>/asio handler inlined in LTCG target vs single-TU /Od base) - not source-steerable. See claude@NOTE + packet_reader_inline.h.
?delete_udp_match_packet@network_core@vostok@@YAXAAV?$single_size_buffer_allocator@$0BCM@Vsingle_threading_policy@threading@vostok@@@memory@2@AAPAVudp_match_packet@12@@Z	vostok/network_core/udp_match_packet.h	61.3333	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	[DONE 61%] structure 4/4 stmts; residual is LTCG inlining (deallocate inlined in target, out-of-line in base) | network_core udp_misc (udp_match_client/flow_emulator/entry_point/allocators): structure + named-locals MATCH the target (verified structure-diff/info). Byte residual = LTCG/ICF call-boundary walls - LOG boost::function ctor scheduling, packet recv r<> inline-vs-call, allocator-template inlining, seed-immediate delinker asymmetry, secure-CRT reloc naming, dead-loop jmp-anchor (get_ip_address lever in review_todos.md). Not source-steerable.
?connect@async_connector@network_core@vostok@@QAEXAAV?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@PBDGABV?$function@$$A6AXXZ@6@ABV?$function@$$A6AXW4client_error_codes_enum@network_core@vostok@@Verror_code@system@boost@@@Z@6@@Z	vostok/network_core/sources/async_connector.cpp	93.4689	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	Retail RVA 0x5458a0 query constructs protocol family 2 and passes extra protocol argument: restore tcp::v4(), not PF_UNSPEC host/service overload. Remove false source-status inline-wall comment; verify statement alignment and LOG geometry separately.
?enqueue@udp_match_client@network_core@vostok@@QAEXPAVudp_match_packet@23@@Z	vostok/network_core/sources/udp_match_client.cpp	99.8923	projected_match	needs_reaudit	Verify complete procedure bytes, locals, file provenance and zero-statement/prologue blind spots.	[PARTIAL 94.51%] shape/strings exact; __LINE__ immediate off by design (line-padding dropped per policy, -0.01); residual is the LOG macro's log_callback_boost ctor COMDAT - target calls it first with this in EAX, base last with this in ESI (+8 frame, reg renames cascade) - ICF/LTCG call-boundary convention, http_client LOG precedent. | network_core udp_misc (udp_match_client/flow_emulator/entry_point/allocators): structure + named-locals MATCH the target (verified structure-diff/info). Byte residual = LTCG/ICF call-boundary walls - LOG boost::function ctor scheduling, packet recv r<> inline-vs-call, allocator-template inlining, seed-immediate delinker asymmetry, secure-CRT reloc naming, dead-loop jmp-anchor (get_ip_address lever in review_todos.md). Not source-steerable.
?enqueue@udp_match_connection@network_core@vostok@@QAEXPAVudp_match_packet@23@@Z	vostok/network_core/sources/udp_match_connection.cpp	99.8	projected_match	needs_reaudit	Verify complete procedure bytes, locals, file provenance and zero-statement/prologue blind spots.	[PARTIAL 99.8%] connected packets go to enqueue_impl; otherwise an assert eater and delete_udp_match_packet. The old inline-vs-call residual closed when the packet leaves landed - sizes now equal (0x4b/0x4b).
?enqueue_impl@udp_match_connection@network_core@vostok@@AAEXPAVudp_match_packet@23@@Z	vostok/network_core/sources/udp_match_connection.cpp	84.2429	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	[PARTIAL 79.94%] is_ordered binds the channel's running sent_order_id by reference, stamps the packet's order_id from it, serializes it into the wire buffer at +1 through a raw cursor, then pre-increments it; then the is_reliable / push_back tail. | network_core udp_match_connection: structure + named-locals MATCH the target (verified pdb_fetch --view structure-diff/info); byte residual is inline-vs-call codegen (packet serialize(pbyte&)/sequence_number operator=/append template/packet_reader r<>/asio handler inlined in LTCG target vs single-TU /Od base) - not source-steerable. See claude@NOTE + packet_reader_inline.h.
?fill_packet_header@udp_match_connection@network_core@vostok@@AAEXAAVudp_match_packet@23@@Z	vostok/network_core/sources/udp_match_connection.cpp	71.0556	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	[PARTIAL 71.06%] 7/7 (now emitted - callers landed); residual is LTCG temp-spill elision in the inlined serialize/store statements. | network_core udp_match_connection: structure + named-locals MATCH the target (verified pdb_fetch --view structure-diff/info); byte residual is inline-vs-call codegen (packet serialize(pbyte&)/sequence_number operator=/append template/packet_reader r<>/asio handler inlined in LTCG target vs single-TU /Od base) - not source-steerable. See claude@NOTE + packet_reader_inline.h.
?get_connection_info_from_string@network_core@vostok@@YA_NPBDQADAAG@Z	vostok/network_core/sources/network_core_entry_point.cpp	99.9783	projected_match	needs_reaudit	Verify complete procedure bytes, locals, file provenance and zero-statement/prologue blind spots.	[PARTIAL 99.98%] structure exact; residual is the secure-CRT reloc naming (`_strncpy_s`/`_sscanf_s` vs `strncpy_s`/`sscanf_s`) + a 4-byte /Od frame slot (0x10 vs 0x0C).
?handle_send@udp_match_connection@network_core@vostok@@AAEXPAVudp_match_packet@23@ABVerror_code@system@boost@@I@Z	vostok/network_core/sources/udp_match_connection.cpp	96.9531	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	[PARTIAL 88.83%] 19/19 after flipping else-if to the handle_receive house shape (braced arm + return, then a separate if); residual is LTCG (log function-ctor convention, bool-normalize temp elision, buffer_to_send_size inline-vs-call). | network_core udp_match_connection: structure + named-locals MATCH the target (verified pdb_fetch --view structure-diff/info); byte residual is inline-vs-call codegen (packet serialize(pbyte&)/sequence_number operator=/append template/packet_reader r<>/asio handler inlined in LTCG target vs single-TU /Od base) - not source-steerable. See claude@NOTE + packet_reader_inline.h.
?handle_read_status_line@http_client@network_core@vostok@@AAEXABVerror_code@system@boost@@@Z	vostok/network_core/sources/http_client.cpp	94.3516	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	Restore two explicit early returns proven by independent string/stream cleanup at retail offsets 0x19d/0x271 (RVA 0x77a3e0); retain PDB s32 found. Remove stale whole-function library-wall narrative.
?handle_receive@udp_match_client@network_core@vostok@@AAEXABVerror_code@system@boost@@I@Z	vostok/network_core/sources/udp_match_client.cpp	99.9878	projected_match	needs_reaudit	Verify complete procedure bytes, locals, file provenance and zero-statement/prologue blind spots.	[PARTIAL 93.53%] 23/23 stmts aligned, all slots/frame identical; residuals are the LOG __LINE__ immediates (line-padding dropped per policy) plus the shared LOG_ERROR helper machinery (base builds the boost::function1 callback at the append site where target builds it at block entry, swapping the two guarded temp cleanups - the http_client::on_error precedent) and stmt-118 packet.buffer() inline-vs-call, both LTCG. | network_core udp_misc (udp_match_client/flow_emulator/entry_point/allocators): structure + named-locals MATCH the target (verified structure-diff/info). Byte residual = LTCG/ICF call-boundary walls - LOG boost::function ctor scheduling, packet recv r<> inline-vs-call, allocator-template inlining, seed-immediate delinker asymmetry, secure-CRT reloc naming, dead-loop jmp-anchor (get_ip_address lever in review_todos.md). Not source-steerable.
?instant_disconnect@udp_match_connection@network_core@vostok@@QAEXW4disconnect_event_types_enum@23@@Z	vostok/network_core/sources/udp_match_connection.cpp	99.8452	projected_match	needs_reaudit	Verify complete procedure bytes, locals, file provenance and zero-statement/prologue blind spots.	[PARTIAL 73.23%] 25/25; the seq-reset rows are the op= this-temp lowering, the channel-purge rows the intrusive rbtree begin/iterator inline-vs-call wall. | network_core udp_match_connection: structure + named-locals MATCH the target (verified pdb_fetch --view structure-diff/info); byte residual is inline-vs-call codegen (packet serialize(pbyte&)/sequence_number operator=/append template/packet_reader r<>/asio handler inlined in LTCG target vs single-TU /Od base) - not source-steerable. See claude@NOTE + packet_reader_inline.h.
?is_low_level_packet@udp_match_connection@network_core@vostok@@SA_NABVbase_packet@23@@Z	vostok/network_core/sources/udp_match_connection.cpp	83.2162	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	[PARTIAL 0%] shape exact (8/8); the single-TU anchor inlines packet_reader::r<> where the target keeps the template out-of-line (the documented anchor/inline-vs-call wall); report.json serializes the 0.0 fuzzy as null. | network_core udp_match_connection: structure + named-locals MATCH the target (verified pdb_fetch --view structure-diff/info); byte residual is inline-vs-call codegen (packet serialize(pbyte&)/sequence_number operator=/append template/packet_reader r<>/asio handler inlined in LTCG target vs single-TU /Od base) - not source-steerable. See claude@NOTE + packet_reader_inline.h.
?new_low_level_packet@udp_match_connection@network_core@vostok@@AAEPAVudp_match_packet@23@E@Z	vostok/network_core/sources/udp_match_connection.cpp	85.9398	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	"[PARTIAL 70.07%] 18/18; residual is the append(u8) forward dissolved by base LTCG into append(pcvoid,u32)+temp where the target calls the folded u8 COMDAT directly (+0x8/+0x7), plus reg-form noise. ""initiatie disconnection"" reproduces the target string typo. | network_core udp_match_connection: structure + named-locals MATCH the target (verified pdb_fetch --view structure-diff/info); byte residual is inline-vs-call codegen (packet serialize(pbyte&)/sequence_number operator=/append template/packet_reader r<>/asio handler inlined in LTCG target vs single-TU /Od base) - not source-steerable. See claude@NOTE + packet_reader_inline.h."
?new_udp_match_packet@network_core@vostok@@YAPAVudp_match_packet@12@AAV?$single_size_buffer_allocator@$0BCM@Vsingle_threading_policy@threading@vostok@@@memory@2@@Z	vostok/network_core/udp_match_packet.h	99.7391	projected_match	needs_reaudit	Verify complete procedure bytes, locals, file provenance and zero-statement/prologue blind spots.	[DONE 99%] structure 3/3 stmts; residual is LTCG frame size (0x20 vs 0x34)
