rva	name	size	type	comment
0x34c374	DAT_0035c374	0xf	switch::IndexTable<u8>[15]	png_do_unshift bit-depth index after subtracting 2 and comparing with 14; bound proves 15 entries through the contribution end
0x34dc70	DAT_0035dc70	0x1cad	code	libpng pngrtran.obj private row-composition transform; one large EBP-frame body dispatches by color type and bit depth and ends at ret 0x34f91c
0x34f920	DAT_0035f920	0x1c	switch::JumpTable[7]	pngrtran row-composition color-type table; cmp color_type,6 proves seven relocated code-label pointers ending at 0x34f93c
0x34f93c	DAT_0035f93c	0x18	switch::JumpTable[6]	pngrtran row-composition bit-depth dispatch table; six relocated code-label pointers end at 0x34f954
0x34f954	DAT_0035f954	0x10	switch::IndexTable<u8>[16]	pngrtran row-composition bit-depth index after subtracting 1 and comparing with 15; bound proves 16 entries through the contribution end
0x34f970	DAT_0035f970	0x6be	code	libpng pngrtran.obj private gamma-table row transform; one EBP-frame body dispatches by color type and 8/16-bit depth and ends at ret 0x35002d
0x350030	DAT_00360030	0x1c	switch::JumpTable[7]	pngrtran gamma-transform color-type table; cmp color_type,6 proves seven relocated code-label pointers through the contribution end
0x352000	DAT_00362000	0x388	code	libpng png_write_row body; one EBP-frame body contains the seven color-type cases and ends at ret 0x352387
0x352388	DAT_00362388	0x1c	switch::JumpTable[7]	png_write_row color-type dispatch table; cmp color_type,6 proves seven relocated code-label pointers through the pngwrite.obj contribution end
0x359500	DAT_00369500	0x6b	code	libpng private Sub-filter row callback; png_read_filter_row installs this address and the contribution ends exactly at ret 0x35956a
0x359570	DAT_00369570	0x66	code	libpng private Up-filter row callback; adds the prior-row byte across rowbytes and ends exactly at ret 0x3595d5
0x3595e0	DAT_003695e0	0xd5	code	libpng private Average-filter row callback; separate leading-bpp and remaining-row loops end exactly at ret 0x3596b4
0x3596c0	DAT_003696c0	0x127	code	libpng private Paeth-filter callback for one-byte pixels; selected when bytes-per-pixel is one and ends exactly at ret 0x3597e6
0x3597f0	DAT_003697f0	0x155	code	libpng private Paeth-filter callback for multibyte pixels; selected when bytes-per-pixel is not one and ends exactly at ret 0x359944
0x35a920	DAT_0036a920	0x268	code	libpng private palette-index validation body; scans packed pixels by bit depth, updates the maximum palette index, and ends at ret 0x35ab87
0x35ab88	DAT_0036ab88	0x20	switch::JumpTable[8]	palette-index validation bit-depth dispatch table; subtract 1 and cmp 7 prove eight relocated code-label pointers through the pngtrans.obj contribution end
0x35af20	DAT_0036af20	0x4bd	code	libpng png_write_IHDR body; validates the IHDR fields, writes the chunk, initializes row state, and ends at ret 0x35b3dc before a three-byte alignment nop
0x35b3e0	DAT_0036b3e0	0x1c	switch::JumpTable[7]	png_write_IHDR color-type dispatch table; cmp color_type,6 proves seven relocated code-label pointers
0x35b3fc	DAT_0036b3fc	0x8	switch::JumpTable[2]	png_write_IHDR grayscale bit-depth validity dispatch; two relocated destinations are selected through the following byte-index table
0x35b404	DAT_0036b404	0x10	switch::IndexTable<u8>[16]	png_write_IHDR grayscale bit-depth index after subtracting 1 and comparing with 15; bound proves sixteen entries
0x35b414	DAT_0036b414	0x8	switch::JumpTable[2]	png_write_IHDR palette bit-depth validity dispatch; two relocated destinations are selected through the following byte-index table
0x35b41c	DAT_0036b41c	0x8	switch::IndexTable<u8>[8]	png_write_IHDR palette bit-depth index after subtracting 1 and comparing with 7; bound proves eight entries through the pngwutil.obj contribution end
0x361000	DAT_00371000	0xa1	code	libjpeg jpeg_consume_input state-machine body; handles decompressor states 200 through 210 and ends at ret 0x3610a0 before a three-byte alignment nop
0x3610a4	DAT_003710a4	0x14	switch::JumpTable[5]	jpeg_consume_input state-action jump table; five relocated destinations are selected through the following byte-index table
0x3610b8	DAT_003710b8	0xb	switch::IndexTable<u8>[11]	jpeg_consume_input global-state index after subtracting 200 and comparing with 10; bound proves eleven entries through the jdapimin.obj contribution end
0x361ed0	DAT_00371ed0	0x353	code	libjpeg jdmarker private get_dqt body; reads and natural-orders a quantization table and ends at ret 0x362222 before one alignment nop
0x362224	DAT_00372224	0x1c	switch::JumpTable[7]	get_dqt reduced-DCT natural-order selection table; seven relocated destinations are selected through the following byte-index table
0x362240	DAT_00372240	0x2e	switch::IndexTable<u8>[46]	get_dqt coefficient-count index after subtracting 4 and comparing with 45; bound proves 46 entries through the jdmarker.obj contribution end
0x362680	DAT_00372680	0x184	code	libjpeg jdmarker get_interesting_appn callback; buffers APP0/APP14 marker bytes, examines them, skips the remainder, and ends exactly at ret 0x362803
0x362810	DAT_00372810	0xa7	code	libjpeg jdmarker skip_variable callback; reads and traces a marker length, skips its payload, and ends exactly at ret 0x3628b6
0x362a80	DAT_00372a80	0x1fc	code	libjpeg jdmarker read_markers state-machine callback; dispatches all marker codes, returns suspended/SOS/EOI states, and ends at ret 0x362c7b
0x362c7c	DAT_00372c7c	0x48	switch::JumpTable[18]	read_markers marker-action jump table; eighteen relocated destinations are selected through the following byte-index table
0x362cc4	DAT_00372cc4	0xfe	switch::IndexTable<u8>[254]	read_markers marker-code index after subtracting 1 and comparing with 253; bound proves 254 entries through the jdmarker.obj contribution end
0x362dd0	DAT_00372dd0	0x9d	code	libjpeg jdmarker read_restart_marker callback; consumes or resynchronizes the expected RST marker and ends exactly at ret 0x362e6c
0x362f70	DAT_00372f70	0x2b	code	libjpeg jdmarker reset_marker_reader callback; clears stream and marker-reader state and ends exactly at ret 0x362f9a
0x363020	DAT_00373020	0x1e	code	libjpeg jerror error_exit callback; emits the message, destroys the JPEG object, calls exit, and ends at the unreachable pop at 0x36303d before the alignment traps
0x363040	DAT_00373040	0x59	code	libjpeg jerror output_message callback; formats the message and writes it to the configured stderr path, ending exactly at ret 0x363098
0x3630a0	DAT_003730a0	0x39	code	libjpeg jerror emit_message callback; applies warning/trace policy and ends exactly at ret 0x3630d8
0x3630e0	DAT_003730e0	0xa5	code	libjpeg jerror format_message callback; selects a message table entry and formats string or integer parameters, ending exactly at ret 0x363184
0x363190	DAT_00373190	0x11	code	libjpeg jerror reset_error_mgr callback; clears warning count and message code and ends exactly at ret 0x3631a0
0x3632a0	DAT_003732a0	0x1e3	code	libjpeg jpeg_calc_output_dimensions body; derives scaled component and output dimensions and ends at ret 0x363482 before one alignment nop
0x363484	DAT_00373484	0x14	switch::JumpTable[5]	jpeg_calc_output_dimensions output-color-space dispatch table; subtract 1 and cmp 4 prove five relocated code-label pointers through the jdmaster.obj contribution end
0x3636f0	DAT_003736f0	0x155	code	libjpeg jdmaster prepare_for_output_pass callback; configures dummy/quantization passes and output modules and ends exactly at ret 0x363844
0x363850	DAT_00373850	0x25	code	libjpeg jdmaster finish_output_pass callback; finishes color quantization when enabled, increments pass number, and ends exactly at ret 0x363874
0x363cd0	DAT_00373cd0	0x3f2	code	libjpeg jdinput initial_setup body; validates image/component geometry, derives JPEG color-space metadata, and ends at ret 0x3640c1 before a two-byte alignment nop
0x3640c4	DAT_003740c4	0x40	switch::JumpTable[16]	initial_setup JPEG color-space action table; sixteen relocated destinations are selected through the following byte-index table
0x364104	DAT_00374104	0xe1	switch::IndexTable<u8>[225]	initial_setup JPEG color-space index for values 0 through 224; the upper-bound comparison and contribution end prove 225 entries
0x364430	DAT_00374430	0x3f	code	libjpeg jdinput start_input_pass callback; performs per-scan setup, latches quantization tables, starts entropy/coefficient input, and ends exactly at ret 0x36446e
0x364470	DAT_00374470	0xf0	code	libjpeg jdinput consume_markers callback; advances SOS/EOI/suspended input state and ends exactly at ret 0x36455f
0x364560	DAT_00374560	0x42	code	libjpeg jdinput reset_input_controller callback; restores marker-consumption state and resets error/marker modules, ending exactly at ret 0x3645a1
0x3645b0	DAT_003745b0	0x11	code	libjpeg jdinput finish_input_pass callback; restores consume_input to consume_markers and ends exactly at ret 0x3645c0
0x364640	DAT_00374640	0x123	code	libjpeg jmemmgr alloc_small callback; allocates from a small-object pool and ends exactly at ret 0x364762
0x364770	DAT_00374770	0xa0	code	libjpeg jmemmgr alloc_large callback; allocates and links a large-object pool node and ends exactly at ret 0x36480f
0x364810	DAT_00374810	0xa9	code	libjpeg jmemmgr alloc_sarray callback; allocates a sample-row pointer array and backing rows and ends exactly at ret 0x3648b8
0x3648c0	DAT_003748c0	0xa9	code	libjpeg jmemmgr alloc_barray callback; allocates a block-row pointer array and backing rows and ends exactly at ret 0x364968
0x364970	DAT_00374970	0x6a	code	libjpeg jmemmgr request_virt_sarray callback; records a virtual sample-array request and ends exactly at ret 0x3649d9
0x3649e0	DAT_003749e0	0x6a	code	libjpeg jmemmgr request_virt_barray callback; records a virtual block-array request and ends exactly at ret 0x364a49
0x364a50	DAT_00374a50	0x193	code	libjpeg jmemmgr realize_virt_arrays callback; realizes pending virtual arrays within the memory budget and ends exactly at ret 0x364be2
0x364d30	DAT_00374d30	0x13c	code	libjpeg jmemmgr access_virt_sarray callback; validates and realizes a requested virtual sample window and ends exactly at ret 0x364e6b
0x364e70	DAT_00374e70	0x14c	code	libjpeg jmemmgr access_virt_barray callback; validates and realizes a requested virtual block window and ends exactly at ret 0x364fbb
0x364fc0	DAT_00374fc0	0x105	code	libjpeg jmemmgr free_pool callback; releases all large and small allocations in a pool and ends exactly at ret 0x3650c4
0x3650d0	DAT_003750d0	0x3e	code	libjpeg jmemmgr self_destruct callback; frees every pool and the manager object and ends exactly at ret 0x36510d
0x365340	DAT_00375340	0x13	code	libjpeg jdcoefct start_input_pass callback; clears the input iMCU row and tail-dispatches start_iMCU_row through the contribution end
0x365360	DAT_00375360	0x241	code	libjpeg jdcoefct decompress_onepass callback; decodes, inverse-transforms, and outputs one iMCU row through the exact contribution extent
0x3655b0	DAT_003755b0	0x1d6	code	libjpeg jdcoefct consume_data callback; fills the full-image coefficient buffer one iMCU row at a time through the exact contribution extent
0x365790	DAT_00375790	0x185	code	libjpeg jdcoefct decompress_data callback; reads buffered coefficients, inverse-transforms an output iMCU row, and ends at the exact contribution extent
0x365a80	DAT_00375a80	0x630	code	libjpeg jdcoefct decompress_smooth_data callback; performs block-smoothing coefficient prediction and inverse transforms through the exact contribution extent
0x3660b0	DAT_003760b0	0x49	code	libjpeg jdcoefct start_output_pass callback; selects smoothed or ordinary buffered decompression and resets the output iMCU row, ending exactly at ret 0x3660f8
0x366790	DAT_00376790	0x216	code	libjpeg private decode_mcu_DC_first callback; selected by start_pass for a progressive DC first scan and ends at ret 0x3669a5
0x3669b0	DAT_003769b0	0x22c	code	libjpeg private decode_mcu_DC_refine callback; selected by start_pass for a progressive DC refinement scan and ends at ret 0x366bdb
0x366be0	DAT_00376be0	0xe0	code	libjpeg private decode_mcu_AC_first callback; selected by start_pass for a progressive AC first scan and ends at ret 0x366cbf
0x366cc0	DAT_00376cc0	0x3e1	code	libjpeg private decode_mcu_AC_refine callback; selected by start_pass for a progressive AC refinement scan and ends at ret 0x3670a0
0x3670b0	DAT_003770b0	0x454	code	libjpeg private decode_mcu_slow callback; selected when lim_Se is below 63 and ends at ret 0x367503
0x367510	DAT_00377510	0x435	code	libjpeg private decode_mcu_fast callback; selected when lim_Se is 63 and ends at ret 0x367944
0x367950	DAT_00377950	0x54c	code	libjpeg private start_pass_huff_decoder callback; selects the six MCU decoders and ends at ret 0x367e9a plus one alignment nop
0x367e9c	DAT_00377e9c	0x20	switch::JumpTable[8]	libjpeg start_pass_huff_decoder table used by jmp [edx*4+0x377e9c]; eight relocated code-label pointers end at 0x367ebc
0x367ebc	DAT_00377ebc	0x31	switch::IndexTable<u8>[49]	libjpeg start_pass_huff_decoder index for lim_Se values 0..48; cmp 0x30 proves 49 entries through the jdhuff.obj contribution end
0x368220	DAT_00378220	0x1f3	code	libjpeg private arithmetic decode_mcu_DC_first callback; start_pass selects it for a progressive DC first scan and the contribution ends at ret 0x368412
0x368420	DAT_00378420	0x219	code	libjpeg private arithmetic decode_mcu_AC_first callback; start_pass selects it for a progressive AC first scan and the contribution ends at ret 0x368638
0x368640	DAT_00378640	0x6b	code	libjpeg private arithmetic decode_mcu_DC_refine callback; start_pass selects it for a progressive DC refinement scan and the contribution ends at ret 0x3686aa
0x3686b0	DAT_003786b0	0x1ba	code	libjpeg private arithmetic decode_mcu_AC_refine callback; start_pass selects it for a progressive AC refinement scan and the contribution ends at ret 0x368869
0x368870	DAT_00378870	0x3c4	code	libjpeg private arithmetic decode_mcu callback for sequential scans; start_pass stores this address and the contribution ends at ret 0x368c33
0x368c40	DAT_00378c40	0x381	code	libjpeg private arithmetic start_pass callback; selects the five MCU decoders and the contribution ends at ret 0x368fc0
0x369470	DAT_00379470	0x6f	code	libjpeg jdmainct process_data_simple_main callback; start_pass_main selects it when context rows are unnecessary and the contribution ends at ret 0x3694de
0x3694e0	DAT_003794e0	0x138	code	libjpeg jdmainct process_data_context_main callback; start_pass_main selects it when the upsampler needs context rows and the contribution ends at ret 0x369617
0x369620	DAT_00379620	0x29	code	libjpeg jdmainct process_data_crank_post callback; start_pass_main selects it for JBUF_CRANK_DEST and the contribution ends at ret 0x369648
0x369650	DAT_00379650	0x78	code	libjpeg jdmainct start_pass_main callback; selects the three process_data callbacks and the contribution ends at ret 0x3696c7
0x3697b0	DAT_003797b0	0x591	code	libjpeg jddctmgr private start_pass callback; installs inverse-DCT methods and multiplier tables and the exact contribution ends at ret 0x369d40
0x369dc0	DAT_00379dc0	0x79	code	libjpeg jdpostct post_process_1pass callback; start_pass_dpost selects it for one-pass quantization and the contribution ends at ret 0x369e38
0x369e40	DAT_00379e40	0xa1	code	libjpeg jdpostct post_process_prepass callback; start_pass_dpost selects it for JBUF_SAVE_AND_PASS and the contribution ends at ret 0x369ee0
0x369ef0	DAT_00379ef0	0x97	code	libjpeg jdpostct post_process_2pass callback; start_pass_dpost selects it for JBUF_CRANK_DEST and the contribution ends at ret 0x369f86
0x369f90	DAT_00379f90	0xff	code	libjpeg jdpostct start_pass_dpost callback; selects or forwards the post-process callback and the contribution ends at ret 0x36a08e
0x36a130	DAT_0037a130	0x1a	code	libjpeg jdsample private start_pass_upsample callback; initializes row counters and the exact contribution ends at ret 0x36a149
0x36a150	DAT_0037a150	0xcb	code	libjpeg jdsample private sep_upsample callback; invokes the selected component upsamplers and color conversion and ends at ret 0x36a21a
0x36a220	DAT_0037a220	0xb	code	libjpeg jdsample private fullsize_upsample callback; aliases the input row array and ends at ret 0x36a22a
0x36a230	DAT_0037a230	0xb	code	libjpeg jdsample private noop_upsample callback; clears the output row pointer and ends at ret 0x36a23a
0x36a240	DAT_0037a240	0xd6	code	libjpeg jdsample private int_upsample callback; handles arbitrary integral sampling ratios and ends at ret 0x36a315
0x36a320	DAT_0037a320	0x52	code	libjpeg jdsample private h2v1_upsample callback; doubles samples horizontally and ends at ret 0x36a371
0x36a380	DAT_0037a380	0x69	code	libjpeg jdsample private h2v2_upsample callback; doubles samples in both axes and ends at ret 0x36a3e8
0x36a660	DAT_0037a660	0x11d	code	libjpeg jdcolor private ycc_rgb_convert callback; the initializer stores it for YCbCr-to-RGB output and the contribution ends at ret 0x36a77c
0x36a7e0	DAT_0037a7e0	0xb4	code	libjpeg jdcolor private rgb_gray_convert callback; converts three RGB planes with the precomputed luminance table and ends at ret 0x36a893
0x36a8a0	DAT_0037a8a0	0x7c	code	libjpeg jdcolor private rgb_rgb_convert callback; interleaves three RGB planes and ends at ret 0x36a91b
0x36a920	DAT_0037a920	0x8a	code	libjpeg jdcolor private null_convert callback; interleaves an arbitrary component count and ends at ret 0x36a9a9
0x36a9b0	DAT_0037a9b0	0x29	code	libjpeg jdcolor private grayscale_convert callback; forwards the luminance plane through jcopy_sample_rows and ends at ret 0x36a9d8
0x36a9e0	DAT_0037a9e0	0x56	code	libjpeg jdcolor private gray_rgb_convert callback; replicates luminance into RGB and ends at ret 0x36aa35
0x36aa40	DAT_0037aa40	0x150	code	libjpeg jdcolor private ycck_cmyk_convert callback; converts YCCK through the YCbCr lookup tables and ends at ret 0x36ab8f
0x36ab90	DAT_0037ab90	0x184	code	libjpeg jdcolor private jinit_color_deconverter body; selects color-conversion callbacks and ends at ret 0x36ad10 plus its alignment instruction
0x36ad14	DAT_0037ad14	0x14	switch::JumpTable[5]	libjpeg jinit_color_deconverter jpeg_color_space dispatch table used by jmp [eax*4+0x37ad14]; five relocated code-label pointers fill the contribution tail
0x36ae00	DAT_0037ae00	0x15	code	libjpeg jdmerge private start_pass_merged_upsample callback; resets spare-row state and the contribution ends at ret 0x36ae14
0x36ae20	DAT_0037ae20	0xc0	code	libjpeg jdmerge private merged_2v_upsample callback; manages the spare output row around the 2v upmethod and ends at ret 0x36aedf
0x36aee0	DAT_0037aee0	0x36	code	libjpeg jdmerge private merged_1v_upsample callback; invokes one-row merged upsampling and advances both counters, ending at ret 0x36af15
0x36af20	DAT_0037af20	0x148	code	libjpeg jdmerge private h2v1_merged_upsample callback; merges 2:1 horizontal chroma with RGB conversion and ends at ret 0x36b067
0x36b070	DAT_0037b070	0x212	code	libjpeg jdmerge private h2v2_merged_upsample callback; merges 2:1 chroma in both axes with RGB conversion and ends at ret 0x36b281
0x36b310	DAT_0037b310	0x73	code	libjpeg jquant2 private prescan_quantize callback; accumulates the three-dimensional color histogram and ends at ret 0x36b382
0x36bfc0	DAT_0037bfc0	0xbf	code	libjpeg jquant2 private pass2_no_dither callback; maps pixels through the inverse-color cache without dithering and ends at ret 0x36c07e
0x36c080	DAT_0037c080	0x2bc	code	libjpeg jquant2 private pass2_fs_dither callback; performs Floyd-Steinberg quantization and ends at ret 0x36c33b
0x36c3e0	DAT_0037c3e0	0x25	code	libjpeg jquant2 private finish_pass1 callback; selects the representative colors and marks the cache dirty, ending at ret 0x36c404
0x36c410	DAT_0037c410	0x124	code	libjpeg jquant2 private start_pass_2_quant callback; selects prescan or second-pass methods and initializes their workspaces, ending at ret 0x36c533
0x36c540	DAT_0037c540	0xf	code	libjpeg jquant2 private new_color_map_2_quant callback; marks the inverse color map for reset and ends at ret 0x36c54e
0x36cb40	DAT_0037cb40	0xa6	code	libjpeg jquant1 private color_quantize callback; handles an arbitrary output-component count without dithering and ends at ret 0x36cbe5
0x36cbf0	DAT_0037cbf0	0xb0	code	libjpeg jquant1 private color_quantize3 callback; handles the three-component no-dither fast path and ends at ret 0x36cc9f
0x36cca0	DAT_0037cca0	0x110	code	libjpeg jquant1 private quantize_ord_dither callback; handles general ordered dithering and ends at ret 0x36cdaf
0x36cdb0	DAT_0037cdb0	0x121	code	libjpeg jquant1 private quantize3_ord_dither callback; handles the three-component ordered-dither fast path and ends at ret 0x36ced0
0x36cee0	DAT_0037cee0	0x1a0	code	libjpeg jquant1 private quantize_fs_dither callback; performs Floyd-Steinberg one-pass quantization and ends at ret 0x36d07f
0x36d0c0	DAT_0037d0c0	0xe4	code	libjpeg jquant1 private start_pass_1_quant callback; selects the five quantizers and initializes their workspaces, ending at ret 0x36d1a3
0x36d1b0	DAT_0037d1b0	0x17	code	libjpeg jquant1 private new_color_map_1_quant callback; tail-dispatches the unsupported mode-change error and fills its exact contribution
0x4f8150	DAT_00508150	0x11	code	PCRE private default allocation callback stored in pcre_malloc and pcre_stack_malloc; forwards one size argument to the target malloc and ends at ret 0x4f8160
0x4f8170	DAT_00508170	0x11	code	PCRE private default deallocation callback stored in pcre_free and pcre_stack_free; forwards one pointer argument to the target free and ends at ret 0x4f8180
0x4f8190	DAT_00508190	0x1b8	code	PCRE private _pcre_find_bracket body; scans compiled opcodes for a numbered bracket and ends at ret 0x4f8347 before its two switch-table pairs
0x4f8348	DAT_00508348	0x14	switch::JumpTable[5]	PCRE _pcre_find_bracket opcode dispatch table used by jmp [eax*4+0x508348]; five relocated code-label pointers end at 0x4f835c
0x4f835c	DAT_0050835c	0x41	switch::IndexTable<u8>[65]	PCRE _pcre_find_bracket opcode index for values 0x55..0x95; subtract 0x55 and cmp 0x40 prove 65 entries
0x4f83a0	DAT_005083a0	0x8	switch::JumpTable[2]	PCRE _pcre_find_bracket UTF-8 opcode dispatch table used by jmp [edx*4+0x5083a0]; two relocated code-label pointers end at 0x4f83a8
0x4f83a8	DAT_005083a8	0x1e	switch::IndexTable<u8>[30]	PCRE _pcre_find_bracket UTF-8 opcode index for values 0x1d..0x3a; subtract 0x1d and cmp 0x1d prove 30 entries through the contribution end
0x4f9220	DAT_00509220	0x3e0	code	PCRE private find_fixedlength body; recursively computes the fixed length of compiled branches and ends at ret 0x4f95fe plus one alignment nop
0x4f9600	DAT_00509600	0x40	switch::JumpTable[16]	PCRE find_fixedlength opcode dispatch table used by jmp [edx*4+0x509600]; 16 relocated code-label pointers end at 0x4f9640
0x4f9640	DAT_00509640	0x9c	switch::IndexTable<u8>[156]	PCRE find_fixedlength opcode index for values 0..0x9b; cmp 0x9b proves 156 entries
0x4f96dc	DAT_005096dc	0x8	switch::JumpTable[2]	PCRE find_fixedlength sub-opcode dispatch table used by jmp [edx*4+0x5096dc]; two relocated code-label pointers end at 0x4f96e4
0x4f96e4	DAT_005096e4	0x8	switch::IndexTable<u8>[8]	PCRE find_fixedlength sub-opcode index for values 0x62..0x69; subtract 0x62 and cmp 7 prove eight entries through the contribution end
0x4f9c40	DAT_00509c40	0x5744	code	PCRE private compile_branch body; compiles one regular-expression branch into opcode form
0x4ff384	DAT_0050f384	0x34	switch::JumpTable[13]	compile_branch escape and opcode dispatch destinations
0x4ff3b8	DAT_0050f3b8	0x7d	switch::IndexTable<u8>[125]	compile_branch opcode selector map for values 0x00 through 0x7c
0x4ff438	DAT_0050f438	0x40	switch::JumpTable[16]	compile_branch direct repeat-type dispatch for selector values 0x00 through 0x0f
0x4ff478	DAT_0050f478	0x54	switch::JumpTable[21]	compile_branch POSIX and metacharacter dispatch destinations
0x4ff4cc	DAT_0050f4cc	0x3b	switch::IndexTable<u8>[59]	compile_branch POSIX and metacharacter selector map after subtracting 0x21
0x4ff508	DAT_0050f508	0x3c	switch::JumpTable[15]	compile_branch group and assertion dispatch destinations
0x4ff544	DAT_0050f544	0x5c	switch::IndexTable<u8>[92]	compile_branch group and assertion selector map after subtracting 0x21
0x4ff5a0	DAT_0050f5a0	0x24	switch::JumpTable[9]	compile_branch verb and special-group dispatch destinations
0x4ff5c4	DAT_0050f5c4	0x4c	switch::IndexTable<u8>[76]	compile_branch verb and special-group selector map after subtracting 0x2d
0x4ff7b0	DAT_0050f7b0	0x878	code	PCRE private check_escape body; bounded by entry and return/alignment before its character escape dispatch tables
0x500028	DAT_00510028	0x24	switch::JumpTable[9]	check_escape character escape dispatch destinations for the 0x30..0x78 selector
0x50004c	DAT_0051004c	0x49	switch::IndexTable<u8>[73]	check_escape character escape selector map for input values 0x30 through 0x78 inclusive
0x500830	DAT_00510830	0x4cc	code	PCRE private could_be_empty_branch body; recursively scans compiled branches through first_significant_code
0x500cfc	DAT_00510cfc	0x2c	switch::JumpTable[11]	could_be_empty_branch opcode dispatch destinations
0x500d28	DAT_00510d28	0x90	switch::IndexTable<u8>[144]	could_be_empty_branch opcode selector map after subtracting 0x06, covering 0x00 through 0x8f
0x500db8	DAT_00510db8	0xc	switch::JumpTable[3]	could_be_empty_branch nested repeat-opcode dispatch destinations
0x500dc4	DAT_00510dc4	0x8	switch::IndexTable<u8>[8]	could_be_empty_branch nested repeat-opcode selector map after subtracting 0x62
0x500dd0	DAT_00510dd0	0xa4	code	PCRE private first_significant_code body; skips assertions and variable-length compiled opcodes
0x500e74	DAT_00510e74	0x10	switch::JumpTable[4]	first_significant_code opcode dispatch destinations
0x500e84	DAT_00510e84	0x88	switch::IndexTable<u8>[136]	first_significant_code opcode selector map after subtracting 0x04, covering 0x00 through 0x87
0x5011d0	DAT_005111d0	0x144	code	PCRE private find_recurse body; scans compiled opcodes until OP_RECURSE or OP_END
0x501314	DAT_00511314	0x14	switch::JumpTable[5]	find_recurse variable-length opcode dispatch destinations
0x501328	DAT_00511328	0x41	switch::IndexTable<u8>[65]	find_recurse opcode selector map after subtracting 0x55, covering 0x00 through 0x40
0x50136c	DAT_0051136c	0x8	switch::JumpTable[2]	find_recurse UTF-8 trailing-character dispatch destinations
0x501374	DAT_00511374	0x1e	switch::IndexTable<u8>[30]	find_recurse UTF-8 opcode selector map after subtracting 0x1d
0x501450	DAT_00511450	0x10ac	code	PCRE private check_auto_possessive body; compares a repeated opcode with the next pattern item
