selector	unit	baseline_cur	baseline_max	baseline_ledger_class	pdb_nonmatch_channels	addressed_diff	batch_action
??0string_order@network@vostok@@QAE@AAVbase_allocator@memory@2@ABV?$function@$$A6AXPBD0@Z@boost@@QBD2@Z	vostok/network/sources/string_order.h	99.7451	99.7451	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0string_order@network@vostok@@QAE@AAVbase_allocator@memory@2@ABV?$function@$$A6AXPBD@Z@boost@@QBD@Z	vostok/network/sources/string_order.h	99.6977	99.6977	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0string_response@network@vostok@@QAE@AAVbase_allocator@memory@2@ABV?$function@$$A6AXPBD@Z@boost@@QBD@Z	vostok/network/sources/string_response.h	99.6977	99.6977	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0tcp_packet@network_core@vostok@@QAE@AAVbase_allocator@memory@2@@Z	vostok/network_core/tcp_packet_inline.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0tcp_packet_client@network@vostok@@QAE@AAUworld@12@@Z	vostok/network/sources/tcp_packet_client.cpp	95.5102	95.5102	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0tcp_packet_client@network_core@vostok@@QAE@AAVio_service@asio@boost@@@Z	vostok/network_core/sources/tcp_packet_client.cpp	66.0227	66.0227	SIZE	statement_structure:MISMATCH	SIZE +0x1b	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0udp_match_client@network_core@vostok@@QAE@AAVio_service@asio@boost@@AAV?$single_size_buffer_allocator@$0BCM@Vsingle_threading_policy@threading@vostok@@@memory@2@AAUudp_match_packets_orderer@12@PAVudp_network_flow_emulator@12@@Z	vostok/network_core/sources/udp_match_client.cpp	97.4684	97.4684	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0udp_match_connection@network_core@vostok@@QAE@AAV?$basic_datagram_socket@Vudp@ip@asio@boost@@V?$datagram_socket_service@Vudp@ip@asio@boost@@@34@@asio@boost@@ABV?$basic_endpoint@Vudp@ip@asio@boost@@@ip@45@AAV?$single_size_buffer_allocator@$0BCM@Vsingle_threading_policy@threading@vostok@@@memory@2@AAUudp_match_packets_orderer@12@IIIPBD@Z	vostok/network_core/sources/udp_match_connection.cpp	94.9111	94.9111	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0udp_match_packet@network_core@vostok@@AAE@XZ	vostok/network_core/udp_match_packet.h	84.9831	84.9831	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0udp_match_packets_allocator@network_core@vostok@@QAE@AAVbase_allocator@memory@2@PAXI@Z	vostok/network_core/udp_match_packets_allocator.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0udp_match_stats@network_core@vostok@@QAE@XZ	vostok/network_core/udp_match_stats.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0udp_network_flow_emulator@network_core@vostok@@QAE@AAVbase_allocator@memory@2@AAV?$single_size_buffer_allocator@$0BCM@Vsingle_threading_policy@threading@vostok@@@42@ABUudp_network_flow_emulator_options@12@@Z	vostok/network_core/sources/udp_network_flow_emulator.cpp	88.3276	88.3276	MATCH	none_reported	not_flagged_for_addressed_diff	Pass allocator reference through existing allocator-value vectora overload; test5B excess, all7TU controls.
??1?$one_way_threads_channel@V?$intrusive_spsc_queue@Vorder@network@vostok@@V123@$03@vostok@@V12@@vostok@@QAE@XZ	vostok/network_core/base_packet.h	100	100	MATCH	identity:AMBIGUOUS	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1channel@udp_match_connection@network_core@vostok@@QAE@XZ	vostok/network_core/udp_match_connection.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1client_destroyer@@UAE@XZ	vostok/network/sources/match_client.cpp	99.8049	99.8049	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1connect_order@network@vostok@@UAE@XZ	vostok/network/sources/connect_order.h	80.2143	80.2143	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE +0xd	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1enqueue_order@network@vostok@@UAE@XZ	vostok/network/sources/enqueue_order.h	82.8269	82.8269	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE +0xe	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1http_client@network@vostok@@QAE@XZ	vostok/network/sources/http_client.cpp	99.7872	99.7872	MATCH	statement_line_geometry:MISMATCH	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1login_client@network@vostok@@QAE@XZ	vostok/network/sources/login_client.cpp	97.3804	99.7717	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1login_client_impl@network@vostok@@QAE@XZ	vostok/network/sources/login_client_impl.cpp	94.9468	100	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE +0x3;SIZE +0x3	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1match_client@network@vostok@@QAE@XZ	vostok/network/sources/match_client.cpp	78.6989	78.6989	SIZE	statement_structure:MISMATCH	SIZE +0x29;SIZE +0x2e;SIZE +0x3	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1match_client_impl@network@vostok@@QAE@XZ	vostok/network/sources/match_client_impl.cpp	93.3333	93.3333	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1network_world@network@vostok@@UAE@XZ	vostok/network/sources/network_world.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1receive_response@network@vostok@@UAE@XZ	vostok/network/sources/receive_response.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1receive_udp_response@network@vostok@@UAE@XZ	vostok/network/sources/receive_udp_response.h	74.8788	74.8788	SIZE	statement_structure:MISMATCH	SIZE +0xe	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1send_order@network@vostok@@UAE@XZ	vostok/network/sources/send_order.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1send_queued_order@network@vostok@@UAE@XZ	vostok/network/sources/send_queued_order.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1string_order@network@vostok@@UAE@XZ	vostok/network/sources/string_order.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1string_response@network@vostok@@UAE@XZ	vostok/network/sources/string_response.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1tcp_packet@network_core@vostok@@QAE@XZ	vostok/network_core/tcp_packet_inline.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1tcp_packet_client@network@vostok@@QAE@XZ	vostok/network/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1tcp_packet_client@network_core@vostok@@QAE@XZ	vostok/network_core/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1udp_match_connection@network_core@vostok@@QAE@XZ	vostok/network_core/sources/udp_match_connection.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??1udp_network_flow_emulator@network_core@vostok@@QAE@XZ	vostok/network_core/sources/udp_network_flow_emulator.cpp	99.7073	99.7073	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??Gnetwork_core@vostok@@YA?AUudp_match_stats@01@ABU201@0@Z	vostok/network_core/udp_match_stats.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??M?$sequence_number@G@network_core@vostok@@QBE_NABV012@@Z	vostok/network_core/sequence_number_inline.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??N?$sequence_number@G@network_core@vostok@@QBE_NABV012@@Z	vostok/network_core/sequence_number_inline.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??Pnetwork_core@vostok@@YA_NABUudp_match_stats@01@0@Z	vostok/network_core/udp_match_stats.h	94.5455	94.5455	SIZE	statement_structure:MISMATCH	SIZE -0xd	Restore final constant-true conjunct observed as mov1/test/je; test13B excess and branch reach.
??Pnetwork_core@vostok@@YA_NABUudp_match_stream_stats@01@0@Z	vostok/network_core/udp_match_stats.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??Rdelayed_packets_predicate@@QBE_NABU?$pair@PAVudp_match_packet@network_core@vostok@@V?$basic_endpoint@Vudp@ip@asio@boost@@@ip@asio@boost@@@stlp_std@@@Z	vostok/network_core/sources/udp_network_flow_emulator.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??_Gclient_destroyer@@UAEPAXI@Z	vostok/network/sources/match_client.cpp	96.2353	96.2353	MATCH	location:MISMATCH	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??_Gconnect_order@network@vostok@@UAEPAXI@Z	vostok/network/sources/connect_order.h	99.7059	99.7059	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??_Genqueue_order@network@vostok@@UAEPAXI@Z	vostok/network/sources/enqueue_order.h	99.7059	99.7059	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??_Gfunctor_order@network@vostok@@UAEPAXI@Z	vostok/network_core/http_client.h	100	100	MATCH	location:MISMATCH	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??_Gfunctor_response@network@vostok@@UAEPAXI@Z	vostok/network/sources/string_order.h	100	100	MATCH	location:MISMATCH	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??_Gnetwork_world@network@vostok@@UAEPAXI@Z	vostok/network_core/tcp_packet_inline.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??_Gorder@network@vostok@@UAEPAXI@Z	vostok/network_core/http_client.h	100	100	MATCH	location:MISMATCH	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??_Greceive_response@network@vostok@@UAEPAXI@Z	vostok/network/sources/receive_response.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??_Greceive_udp_response@network@vostok@@UAEPAXI@Z	vostok/network/sources/receive_udp_response.h	99.7059	99.7059	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??_Gresponse@network@vostok@@UAEPAXI@Z	vostok/network_core/http_client.h	100	100	MATCH	location:MISMATCH	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??_Gsend_order@network@vostok@@UAEPAXI@Z	vostok/network/sources/send_order.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??_Gsend_queued_order@network@vostok@@UAEPAXI@Z	vostok/network/sources/send_queued_order.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??_Gstring_order@network@vostok@@UAEPAXI@Z	vostok/network/sources/string_order.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??_Gstring_response@network@vostok@@UAEPAXI@Z	vostok/network/sources/string_order.h	100	100	MATCH	location:MISMATCH	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?account_name@login_client@network@vostok@@QBEPBDXZ	vostok/network/sources/login_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?account_password@login_client@network@vostok@@QBEPBDXZ	vostok/network/sources/login_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?add_order@network_world@network@vostok@@QAEXPAVorder@23@@Z	vostok/network/sources/network_world.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?add_packet@udp_network_flow_emulator@network_core@vostok@@AAEXPAEIABV?$basic_endpoint@Vudp@ip@asio@boost@@@ip@asio@boost@@II@Z	vostok/network_core/sources/udp_network_flow_emulator.cpp	99.7264	99.7264	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?add_response@network_world@network@vostok@@QAEXPAVresponse@23@@Z	vostok/network/sources/network_world.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?add_result_content@http_client@network_core@vostok@@AAE_NXZ	vostok/network_core/sources/http_client.cpp	100	100	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?advance@packet_reader@network_core@vostok@@QAEXI@Z	vostok/network_core/packet_reader_inline.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?append@?$packet@Vtcp_packet@network_core@vostok@@@network_core@vostok@@QAEXPBXI@Z	vostok/network_core/packet_inline.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?append@?$packet@Vudp_match_packet@network_core@vostok@@@network_core@vostok@@QAEXABVfloat2@math@3@@Z	vostok/network_core/packet_inline.h	-	-	-	presence:TARGET_ONLY	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?append@?$packet@Vudp_match_packet@network_core@vostok@@@network_core@vostok@@QAEXABVfloat3@math@3@@Z	vostok/network_core/packet_inline.h	-	-	-	presence:TARGET_ONLY	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?append@?$packet@Vudp_match_packet@network_core@vostok@@@network_core@vostok@@QAEXG@Z	vostok/network_core/packet_inline.h	-	-	-	presence:TARGET_ONLY	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?append@?$packet@Vudp_match_packet@network_core@vostok@@@network_core@vostok@@QAEXI@Z	vostok/network_core/packet_inline.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?append@?$packet@Vudp_match_packet@network_core@vostok@@@network_core@vostok@@QAEXPBXI@Z	vostok/network_core/packet_inline.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?append@?$packet@Vudp_match_packet@network_core@vostok@@@network_core@vostok@@QAEX_N@Z	vostok/network_core/packet_inline.h	-	-	-	presence:TARGET_ONLY	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?buffer_to_receive_into@network_core@vostok@@YA?AVmutable_buffers_1@asio@boost@@AAVtcp_packet@12@@Z	vostok/network_core/sources/tcp_packet.cpp	94.72	94.72	SIZE	statement_structure:MISMATCH	SIZE +0x3	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?buffer_to_send@network_core@vostok@@YA?AVconst_buffers_1@asio@boost@@AAVtcp_packet@12@@Z	vostok/network_core/sources/tcp_packet.cpp	95.4098	95.4098	SIZE	statement_structure:MISMATCH	SIZE +0x3	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?call_destructor@helper@udp_match_packet@network_core@vostok@@CAXAAV234@@Z	vostok/network_core/udp_match_packet.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?check_consistency@udp_match_client@network_core@vostok@@QBEXXZ	vostok/network_core/sources/udp_match_client.cpp	99.9444	99.9444	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?clear_resources@network_world@network@vostok@@UAEXXZ	vostok/network/sources/network_world.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?clone_packet@match_client_impl@network@vostok@@QAEPAVudp_match_packet@network_core@3@ABV453@@Z	vostok/network/sources/match_client_impl.cpp	93.6842	93.6842	SIZE	statement_structure:MISMATCH	SIZE -0xd	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?close_connection@http_client@network_core@vostok@@AAEXXZ	vostok/network_core/sources/http_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?close_connection@login_client_impl@network@vostok@@AAEX_N@Z	vostok/network/sources/login_client_impl.cpp	99.9891	100	MATCH	statement_line_geometry:MISMATCH	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?close_connection@tcp_packet_client@network_core@vostok@@AAEXXZ	vostok/network_core/sources/tcp_packet_client.cpp	100	100	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?connect@async_connector@network_core@vostok@@AAEXABV?$basic_resolver_iterator@Vtcp@ip@asio@boost@@@ip@asio@boost@@@Z	vostok/network_core/sources/async_connector.cpp	100	100	MATCH	statement_line_geometry:MISMATCH	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?connect@async_connector@network_core@vostok@@QAEXAAV?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@PBDGABV?$function@$$A6AXXZ@6@ABV?$function@$$A6AXW4client_error_codes_enum@network_core@vostok@@Verror_code@system@boost@@@Z@6@@Z	vostok/network_core/sources/async_connector.cpp	93.4689	93.4689	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE +0x26	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?connect@login_client_impl@network@vostok@@AAEXW4resolve_error_types_enum@3@V?$basic_resolver_iterator@Vtcp@ip@asio@boost@@@ip@asio@boost@@IABV?$function@$$A6AXW4connection_error_types_enum@vostok@@@Z@8@@Z	vostok/network/sources/login_client_impl_connect.cpp	97.9613	97.9613	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE +0x4	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
